KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" HOTL SARASWATI GRIYA LESTARI TBK. ",82.00,-6.82%,-6.00,Penjualan,10.700K,330.150B,—,-1.69,203.00,Hotel/Resor/Pelayaran
" HRME MENTENG HERITAGE REALTY TBK. ",432.00,-6.90%,-32.00,Penjualan,7.400K,3396.490B,—,—,32.00,Hotel/Resor/Pelayaran
" INPP INDONESIAN PARADISE PROPERTY TBK. ",700.00,0.00%,0.00,Penjualan Kuat,15.300K,7883.310B,4.11,181.37,510.00,Hotel/Resor/Pelayaran
" IPTV MNC VISION NETWORKS TBK. ",404.00,-0.98%,-4.00,Pembelian,2.697M,14590.900B,—,—,1126.00,TV Kabel/Satelit
" JIHD JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK. ",488.00,-2.40%,-12.00,Penjualan Kuat,1.200K,1187.810B,83.44,6.11,2129.00,Hotel/Resor/Pelayaran
" MAMI MAS MURNI INDONESIA TBK ",50.00,0.00%,0.00,Penjualan,20.700K,614.955B,166.67,0.30,97.00,Hotel/Resor/Pelayaran
" MAPB MAP BOGA ADIPERKASA TBK. ",1540.00,-0.65%,-10.00,Penjualan,200,3039.290B,25.33,55.27,5801.00,Restoran
" MARI MAHAKA RADIO INTEGRA TBK. ",147.00,-6.96%,-11.00,Penjualan Kuat,471.000K,787.896B,23.40,6.41,110.00,Penyiaran
" MDIA INTERMEDIA CAPITAL TBK. ",50.00,0.00%,0.00,Penjualan,1.100K,1960.770B,—,-6.42,1211.00,Penyiaran
" MNCN MEDIA NUSANTARA CITRA TBK. ",1040.00,-0.95%,-10.00,Penjualan,73.873M,11142.100B,—,164.80,—,Konglomerat Media
" MSKY MNC SKY VISION TBK. ",1270.00,-4.15%,-55.00,Penjualan,40.800K,2532.850B,—,-9.52,1808.00,Penyiaran
" PANR PANORAMA SENTRAWISATA TBK. ",83.00,-6.74%,-6.00,Penjualan,422.700K,114.000B,—,-21.98,2357.00,Layanan Konsumen Lainnya
" PDES DESTINASI TIRTA NUSANTARA TBK ",800.00,0.00%,0.00,Pembelian,300,572.000B,238.22,3.17,—,Layanan Konsumen Lainnya
" PGLI PEMBANGUNAN GRAHA LESTARI INDAH TBK. ",320.00,0.00%,0.00,Pembelian,1.300K,156.160B,328.07,0.98,103.00,Hotel/Resor/Pelayaran
" PLIN PLAZA INDONESIA REALTY TBK. ",2400.00,0.00%,0.00,Penjualan,800,9581.890B,—,—,662.00,Hotel/Resor/Pelayaran
" PNIN PANINVEST TBK. ",715.00,-1.38%,-10.00,Penjualan,371.700K,2583.380B,2.05,334.60,353.00,Layanan Konsumen Lainnya
" PNSE PUDJIADI & SONS TBK. ",550.00,-1.79%,-10.00,Pembelian,2.500K,510.600B,—,-20.98,724.00,Hotel/Resor/Pelayaran
" PZZA SARIMELATI KENCANA TBK. ",565.00,0.89%,5.00,Penjualan,6.119M,1707.360B,7.63,73.06,6536.00,Restoran
" SCMA SURYA CITRA MEDIA TBK. ",850.00,0.59%,5.00,Penjualan,34.868M,11123.900B,8.94,88.98,2677.00,Penyiaran
" SHID HOTEL SAHID JAYA INTERNATIONAL TBK. ",3610.00,0.00%,0.00,Pembelian,300,4242.260B,—,-14.76,611.00,Hotel/Resor/Pelayaran
" SINI SINGARAJA PUTRA TBK. ",1395.00,-0.36%,-5.00,Pembelian,400,616.500B,—,—,134.00,Hotel/Resor/Pelayaran
" TMPO TEMPO INTIMEDIA TBK. ",149.00,-6.29%,-10.00,Penjualan,200,168.274B,—,—,—,Percetakan: Buku/Majalah
" VIVA VISI MEDIA ASIA TBK. ",50.00,0.00%,0.00,Penjualan,10.000K,823.215B,—,-58.59,2915.00,Penyiaran
" AGAR ASIA SEJAHTERA MINA TBK. ",454.00,-0.44%,-2.00,Pembelian,233.700K,462.000B,—,—,7.00,Distributor Makanan
" AGII ANEKA GAS INDUSTRI TBK. ",440.00,0.46%,2.00,Penjualan Kuat,1.212M,1548.660B,14.42,32.60,2700.00,Distributor Grosir
