KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" KJEN KRIDA JARINGAN NUSANTARA TBK. ",1260.00,-0.40%,-5.00,Penjualan,100,—,—,—,—,Angkutan/Kurir Udara
" LRNA EKA SARI LORENA TRANSPORT TBK. ",156.00,24.80%,31.00,Pembelian,600,46.550B,—,-11.59,282.00,Transportasi Lainnya
" MBSS MITRABAHTERA SEGARA SEJATI TBK. ",350.00,-1.13%,-4.00,Netral,1.247M,546.009B,26.16,12.77,217.00,Pengiriman Laut
" NELY PELAYARAN NELLY DWI PUTRI TBK. ",154.00,0.00%,0.00,Pembelian,1.000K,361.900B,7.67,20.09,69.00,Pengiriman Laut
" PURA PUTRA RAJAWALI KENCANA TBK. ",75.00,-1.32%,-1.00,Penjualan,88.431M,—,—,—,—,Angkutan/Kurir Udara
" RIGS RIG TENDERS INDONESIA TBK. ",222.00,-2.63%,-6.00,Penjualan,13.900K,129.136B,—,-190.88,87.00,Pengiriman Laut
" SAFE STEADY SAFE TBK ",199.00,0.00%,0.00,Pembelian,209.400K,116.262B,80.55,2.35,39.00,Transportasi Lainnya
" SAPX SATRIA ANTARAN PRIMA TBK. ",935.00,0.00%,0.00,Pembelian,100,970.833B,—,—,339.00,Angkutan/Kurir Udara
" SDMU SIDOMULYO SELARAS TBK. ",50.00,0.00%,0.00,Penjualan,2.000K,56.761B,—,—,176.00,Truk
" SHIP SILLO MARITIME PERDANA TBK. ",670.00,0.00%,0.00,Penjualan,484.400K,1835.860B,9.65,69.40,52.00,Pengiriman Laut
" SMDR SAMUDERA INDONESIA TBK. ",150.00,-1.96%,-3.00,Penjualan,453.300K,465.067B,—,-89.86,4000.00,Pengiriman Laut
" SOCI SOECHI LINES TBK. ",115.00,-2.54%,-3.00,Pembelian,17.298M,600.015B,2.56,44.48,313.00,Pengiriman Laut
" TAMU PELAYARAN TAMARIN SAMUDRA TBK. ",193.00,-3.50%,-7.00,Pembelian,84.900K,6750.000B,—,-1.67,40.00,Angkutan/Kurir Udara
" TAXI EXPRESS TRANSINDO UTAMA TBK. ",50.00,0.00%,0.00,Penjualan,800,307.280B,—,-64.49,471.00,Transportasi Lainnya
" TCPI TRANSCOAL PACIFIC TBK ",5075.00,1.70%,85.00,Penjualan,9.107M,23600.000B,71.19,67.43,292.00,Pengiriman Laut
" TNCA TRIMUDA NUANSA CITRA TBK. ",214.00,-6.96%,-16.00,Penjualan Kuat,17.900K,97.820B,39.50,5.87,53.00,Angkutan/Kurir Udara
" TPMA TRANS POWER MARINE TBK. ",298.00,0.00%,0.00,Pembelian,1.200K,789.990B,6.79,44.18,91.00,Pengiriman Laut
" TRUK GUNA TIMUR RAYA TBK. ",87.00,2.35%,2.00,Pembelian,870.700K,34.365B,—,-1.47,37.00,Truk
" WEHA WEHA TRANSPORTASI INDONESIA TBK. ",88.00,-1.12%,-1.00,Penjualan,885.600K,73.572B,—,-2.16,—,Transportasi Lainnya
" WINS WINTERMAR OFFSHORE MARINE TBK. ",92.00,19.48%,15.00,Pembelian,48.100K,343.684B,—,-44.32,168.00,Pengiriman Laut
" ABMM ABM INVESTAMA TBK. ",1450.00,5.07%,70.00,Penjualan,1.500K,3703.010B,5.60,247.49,5046.00,Utilitas Elektronik
" BIPI ASTRINDO NUSANTARA INFRASTRUKTUR TBK. ",50.00,0.00%,0.00,Penjualan,40.000K,2234.650B,10.03,4.98,43.00,Utilitas Elektronik
" KEEN KENCANA ENERGI LESTARI TBK. ",370.00,-1.07%,-4.00,Penjualan,98.000K,1283.210B,—,—,46.00,Utilitas Elektronik
" MPOW MEGAPOWER MAKMUR TBK. ",52.00,-1.89%,-1.00,Penjualan,22.200K,43.301B,13.80,3.77,—,Utilitas Elektronik
" POWR CIKARANG LISTRINDO TBK. ",660.00,10.00%,60.00,Penjualan,3.606M,9168.780B,6.75,86.73,760.00,Utilitas Elektronik
