NO PENERBANGAN,,TANGGAL PENERBANGAN,DARI,MENUJU,,STD,ATD,STA,,STATUS KEDATANGAN,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,CODE1,CODE2,MODE S
" QR8131 "," "," 09 Apr 2020 "," Brussels (BRU) "," Atlanta (ATL) ",8:53," — "," 12:03 "," — ",," Landed 20:56 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8131 "," "," 09 Apr 2020 "," Luxembourg (LUX) "," Atlanta (ATL) ",—," 11:10 "," 12:03 "," 20:40 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8131 "," "," 09 Apr 2020 "," Doha (DOH) "," Luxembourg (LUX) ",—," 02:40 "," 03:50 "," 09:10 ",," Diverted to BRU "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8188 "," "," 08 Apr 2020 "," Liege (LGG) "," Doha (DOH) ",—," 23:35 "," — "," 05:50 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8188 "," "," 08 Apr 2020 "," Liege (LGG) "," Doha (DOH) ",5:50," — "," 17:33 "," — ",," Landed 23:23 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8188 "," "," 08 Apr 2020 "," Houston (IAH) "," Liege (LGG) ",9:16," 12:05 "," 06:18 "," 21:30 ",," Landed 15:35 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8188 "," "," 08 Apr 2020 "," New York (JFK) "," Houston (IAH) ",—," 06:20 "," 06:18 "," 10:05 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 08 Apr 2020 "," Atlanta (ATL) "," Houston (IAH) ",1:45," 01:55 "," 02:00 "," 03:45 ",," Landed 03:45 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 07 Apr 2020 "," Luxembourg (LUX) "," New York (JFK) ",—," 19:30 "," 02:00 "," 04:05 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 07 Apr 2020 "," Zaragoza (ZAZ) "," Luxembourg (LUX) ",—," 15:40 "," — "," 17:50 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 07 Apr 2020 "," Amsterdam (AMS) "," Atlanta (ATL) ",9:08," — "," 14:41 "," — ",," Landed 23:48 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 07 Apr 2020 "," Dhaka (DAC) "," Zaragoza (ZAZ) ",—," 02:30 "," 06:22 "," 13:50 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8603 "," "," 07 Apr 2020 "," Mumbai (BOM) "," Doha (DOH) ",3:30," — "," 00:25 "," — ",," Landed 03:55 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8602 "," "," 06 Apr 2020 "," Doha (DOH) "," Mumbai (BOM) ",2:59," — "," 19:36 "," — ",," Landed 22:36 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8187 "," "," 06 Apr 2020 "," Doha (DOH) "," Dhaka (DAC) ",—," 19:15 "," 06:22 "," 00:30 ",," Diverted to AMS "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8172 "," "," 06 Apr 2020 "," Liege (LGG) "," Doha (DOH) ",5:50," 04:20 "," 04:49 "," 10:35 ",," Landed 10:39 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8172 "," "," 05 Apr 2020 "," Los Angeles (LAX) "," Liege (LGG) ",10:07," 15:40 "," 15:42 "," 02:30 ",," Landed 01:50 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8603 "," "," 05 Apr 2020 "," Mumbai (BOM) "," Doha (DOH) ",—," 10:20 "," — "," 14:25 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8171 "," "," 05 Apr 2020 "," Mexico City (MEX) "," Los Angeles (LAX) ",3:29," 09:50 "," 09:53 "," 13:45 ",," Landed 13:22 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8602 "," "," 05 Apr 2020 "," Doha (DOH) "," Mumbai (BOM) ",—," 04:25 "," 19:36 "," 08:20 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8171 "," "," 04 Apr 2020 "," Zaragoza (ZAZ) "," Mexico City (MEX) ",11:09," — "," 19:55 "," 01:17 ",," Landed 07:04 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8171 "," "," 04 Apr 2020 "," Zaragoza (ZAZ) "," Mexico City (MEX) ",—," 19:50 "," — "," 07:50 ",," Estimated departure 22:00 "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8171 "," "," 04 Apr 2020 "," Luxembourg (LUX) "," Zaragoza (ZAZ) ",—," 15:50 "," — "," 18:00 ",," Unknown "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
" QR8171 "," "," 04 Apr 2020 "," Maastricht (MST) "," Luxembourg (LUX) ",—," 14:38 "," 14:39 "," 14:50 ",," Diverted to ZAZ "," Boeing 777-F "," Qatar Cargo "," Qatar Airways "," B77L "," QR / QTR "," QR / QTR "," 06A2E1 "
